publication_name,report_name,url_link,html_tag,tag_attr,publicated_month_tag,format,check_day,check_frecuency,last_publication_date_MY,date_format
Debt Issuanses,Mortage Report,https://www.lahipotecaria.com/globalinvestors/covered-bond-program/,div,MOD panel-info,h4,xlsx,10,Monthly,"August,  2021",
Debt Issuanses,Servicer Report,https://www.lahipotecaria.com/globalinvestors/covered-bond-program/,div,SE panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2007-1,Funds Application Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2007-1/,div,funds-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2007-1,Mortgage Data Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2007-1/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2007-1,Servicer Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2007-1/,div,servicer-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2007-1,Stratification Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2007-1/,div,stratification-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2007-1,Significant Employer Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2007-1/,div,significant-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2007-1,Delinquency Migration Graphs,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2007-1/,div,deliquency-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2010-1,Funds Application Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2010-1/,div,funds-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2010-1,Mortgage Data Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2010-1/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2010-1,Servicer Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2010-1/,div,servicer-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2010-1,Stratification Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2010-1/,div,stratification-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2010-1,Significant Employer Report,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2010-1/,div,significant-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Individual RBMS Mortgage Trust 2010-1,Delinquency Migration Graphs,https://www.lahipotecaria.com/globalinvestors/cross-border-issuances/mortgage-trust-2010-1/,div,deliquency-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
RMBS Issuanses,RMBS Tracking,https://www.lahipotecaria.com/globalinvestors/consolidated-rmbs-tracking-files/,div,large-6 medium-6 columns,,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Delinquency graph by Vintage -Mortgage Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/delinquency-graph-vintage/,div,funds-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Delinquency graph by Vintage -Personal Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/delinquency-graph-vintage/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Delinquency graph by Vintage - Mortgage Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/delinquency-graph-vintage/,div,servicer-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Delinquency graph by Vintage -Personal Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/delinquency-graph-vintage/,div,stratification-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Performacnce Graphs-Mortgage Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-performance-graphs/,div,funds-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Performacnce Graphs -Personal Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-performance-graphs/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Performacnce Graphs- Mortgage Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-performance-graphs/,div,servicer-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Performacnce Graphs-Personal Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-performance-graphs/,div,stratification-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Recoveries Mortgage Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-recoveries/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Recoveries Mortgage Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-recoveries/,div,stratification-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Stratification Report Mortgage Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/stratification-reports/,div,funds-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Stratification Report Personal Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/stratification-reports/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Stratification Report Mortgage Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/stratification-reports/,div,servicer-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Stratification Report Personal Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/stratification-reports/,div,stratification-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Data Tape Mortgage Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/data-tapes/,div,funds-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Data Tape Personal Loans Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/data-tapes/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Data Tape Mortgage Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/data-tapes/,div,servicer-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Data Tape Personal Loans El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/data-tapes/,div,stratification-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Delinquency Files Panama,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-delinquency-files/,div,funds-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
Mortgage Portfolio Data,Historical Delinquency Files El Salvador,https://www.lahipotecaria.com/globalinvestors/mortgage-portfolio-data/historical-delinquency-files/,div,mortgage-info panel-info,h4,xlsx,10,Monthly,"August,  2021",
